loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
8144,,PN Grain,7734V,7734V Western Victoria Geelong Grain Loop,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-37.79486,143.049507,trains.json
8152,,PN Garbage Train,2120,2120 Crisps Creek Banksmeadow,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-35.080857,149.64372,trains.json
8153,,PN Limestone,2928,2928 Marulan South Quarry Cringila Yard,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.761227,150.032613,trains.json
8158,,PN Grain Shuttle,3331,3331 Southern NSW Southern NSW,2026-04-29T18:28:19.918328Z,2026-04-29T23:45:49.028656Z,-34.712667,147.91028,trains.json
8161,,PN Light Engine,D416,D416,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-32.903517,151.75576,trains.json
8163,,PN Light Engine Movement,D104,D104,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-33.89996,151.07116,trains.json
8169,,PN Intermodal Trip Train - RSS Crewed,1151,1151 Port Botany St Marys Intermodal Hub,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.84717,151.030773,trains.json
8172,,PN Light Engine,D832,D832,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-33.142447,148.174067,trains.json
8178,,PN Light Engine,D824,D824,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-33.140797,148.14956,trains.json
8179,,PN Local Shunter,LCL,LCL,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-33.142473,148.173947,trains.json
8202,,PN Light Engine,D922,D922,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-34.461893,150.877133,trains.json
8203,,PN Coal,KV08,KV08 Dendrobium Mine Port Kembla,2026-04-29T18:02:14.194502Z,2026-04-29T23:45:49.028656Z,-34.469933,150.8862,trains.json
8206,,PN Empty Containerised Logs,1821,"1821 Enfield Yard Jamax Siding, Kelso",2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-33.42413,149.608867,trains.json
8207,,PN Garbage Train,1223,1223 Banksmeadow Crisps Creek,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.83424,149.65644,trains.json
8209,,PN Empty Ore,4833,4833 Carrington Goonumbla,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.55074,149.27972,trains.json
8210,,PN Grain,3831,3831 Southern NSW Western NSW,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.140137,148.145333,trains.json
