Loco ID,Train Number,Last Seen,Last Date,Last Time,Latitude,Longitude,Speed,Origin,Destination,Description,Total Sightings,cId,servId,trKey
QLD7DBC12428F13E6FACD8FDFD0866122D3_D568,D568,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.473789,153.017487,0,Caboolture,Ipswich,CAIP,2,,,
QLD7DBC12428F13E6FACD8FDFD0866122D3_TEF1,TEF1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.43511,153.02977,0,Beenleigh,Ferny Grove,BNFG,2,,,
GCLR-Bombardier Flexity 2 (10),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.95293,153.347839,0,,,GCR1,2,,,
GCLR-21,GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.92705,153.339096,0,,,GCR1,2,,,
GCLR-10,GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.926279,153.339127,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (04),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.92573,153.339218,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (15),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-28.03528,153.431046,0,,,GCR1,2,,,
GCLR-14,GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-28.035061,153.430985,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (05),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-28.00145,153.428345,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (14),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.99135,153.42894,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (21),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.970921,153.40799,0,,,GCR1,2,,,
GCLR-Bombardier Flexity 2 (18),GCR1,2026-02-16 12:14:46,2026-02-16,12:14:46,-27.968531,153.392105,0,,,GCR1,2,,,
NR44,2TA8,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.84401,152.901573,65,Coffs Harbour,Adelaide Parklands Terminal,JBR Great Southern,2,,,
NR120,2BM4,2026-02-16 12:14:46,2026-02-16,12:14:46,-29.589453,152.962027,60,Acacia Ridge,MFT (South Dynon),PN Intermodal,2,,,
XP2014,NT34,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.641533,152.962987,60,Casino,Central,NSW Trainlink XPT,2,,,
QL008,2BW7,2026-02-16 12:14:46,2026-02-16,12:14:46,-29.263313,152.964667,72,Acacia Ridge,Port Kembla,QUBE BlueScope Steel,2,,,
QL004,2WB7,2026-02-16 12:14:46,2026-02-16,12:14:46,-28.88994,153.04536,77,Port Kembla,Acacia Ridge,QUBE BlueScope Steel,2,,,
8217,1533,2026-02-16 12:14:46,2026-02-16,12:14:46,-31.020423,150.27336,40,Enfield Yard,Narribri West / Wee Waa,PN Containerised Cotton,2,,,
9302,MB512,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.885903,150.10708,0,Maules Creek,PWCS Kooragang,PN Coal,2,,,
9310,BE521,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.820413,150.059947,84,PWCS Kooragang,Boggabri East,PN Coal,2,,,
8235,4539,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.657517,150.015627,63,Carrington (via Greta TSF),North West NSW,PN Grain,2,,,
8252,5430,2026-02-16 12:14:46,2026-02-16,12:14:46,-30.39567,149.812987,60,North West NSW,Carrington / Cargill Kooragang,PN Grain,2,,,
RL307,5548,2026-02-16 12:14:46,2026-02-16,12:14:46,-29.952007,148.277307,26,North West NSW,North West NSW,SSR Grain Shuttle,2,,,
TE2806,SN75,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.548003,150.371973,18,Campbelltown,Moss Vale,Southern Highlands Service,2,,,
TNSW-5231-7388,C191,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.481651,150.802063,0,Bondi Junction and Central,Bomaderry ,South Coast Line,2,,,
44202,D966,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.47251,150.88596,17,,,QUBE Light Engine,2,,,
TE2808,SN82,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.242203,150.582907,77,Goulburn,Campbelltown,Southern Highlands Service,2,,,
G513,2144,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.18877,150.662973,74,Berrima Cement Works,Clyde Yard,SSR Cement,2,,,
TE2809,SN77,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.178993,150.607373,88,Campbelltown,Moss Vale,Southern Highlands Service,2,,,
TNSW-8284-6760,C388,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.161461,150.990356,0,Port Kembla,Central and Bondi Junction,South Coast Line,2,,,
TNSW-5737-7898,610N,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.134529,150.994568,0,Waterfall,Bondi Junction via City,T4 Eastern Suburbs & Illawarra Line,2,,,
TNSW-4837-7937,610M,2026-02-16 12:14:46,2026-02-16,12:14:46,-34.130009,150.994034,0,Bondi Junction,Waterfall via City,T4 Eastern Suburbs & Illawarra Line,2,,,
